variant_id,node,degree,closeness,betweenness,flow_count,delta_asp
142,LonL3Switch,0.4,0.10647541795699725,0.0,5.0,0.8815883936455955
143,ManRouter,0.8,0.14865733572597103,2.0,9.0,1.1914084105684384
143,LonRouter,0.8,0.1378914196666768,1.0,7.0,1.0973507987943438
143,CenRouter,1.0,0.15920916886004102,3.0,11.0,1.2513690081052087
143,DnsRouter,0.6,0.1205751384375742,0.0,5.0,0.9866877161211925
143,ManL3Switch,0.4,0.09885039239277672,0.0,5.0,0.873875022726594
143,LonL3Switch,0.4,0.10202942717309472,0.0,5.0,0.8933838363574016
144,ManRouter,0.8,0.13771444769591346,1.0,7.0,1.1094815994081935
144,LonRouter,0.8,0.14068703320631676,2.0,9.0,1.1369584135015465
144,CenRouter,1.0,0.15328343752519138,3.0,11.0,1.2706332203737258
144,DnsRouter,0.6,0.11092755819847804,0.0,5.0,0.9430956773874812
144,ManL3Switch,0.4,0.10739976473407245,0.0,5.0,0.9248028679527842
144,LonL3Switch,0.4,0.10702764836905872,0.0,5.0,0.9228030083912094
145,ManRouter,0.8,0.1527649748623157,1.0,7.0,1.1265856636118285
145,LonRouter,0.8,0.15449545653721242,2.0,9.0,1.1896852361975843
145,CenRouter,1.0,0.1681819412190276,4.0,13.0,1.207689892566025
145,DnsRouter,0.6,0.13571670448746534,0.0,5.0,0.9976526934988937
145,ManL3Switch,0.4,0.10525791014995005,0.0,5.0,0.8522869601974785
145,LonL3Switch,0.4,0.12240246283092335,0.0,5.0,0.9430102191598974
146,ManRouter,0.8,0.1350759386005355,1.0,7.0,1.1323792366930547
146,LonRouter,0.8,0.13410924422779533,2.0,9.0,1.1592759834619975
146,CenRouter,1.0,0.14592492532018167,4.0,13.0,1.2342464987447994
146,DnsRouter,0.6,0.12370752398775932,0.0,5.0,1.0108019609132275
146,ManL3Switch,0.4,0.09800125318378879,0.0,5.0,0.8824826092621596
146,LonL3Switch,0.4,0.1044688388843126,0.0,5.0,0.9207126373625346
147,ManRouter,0.8,0.14725993691819111,1.0,7.0,1.1560002418676893
147,LonRouter,0.8,0.1355275866096166,2.0,9.0,1.1188213581793431
147,CenRouter,1.0,0.15002004821496853,3.0,11.0,1.1922125347394874
147,DnsRouter,0.6,0.1288843687641257,0.0,5.0,1.0035274716015647
147,ManL3Switch,0.4,0.10611891160669805,0.0,5.0,0.8970203099282161
147,LonL3Switch,0.4,0.11278054906794495,0.0,5.0,0.9326366650971675
148,ManRouter,0.8,0.15248995622612949,2.0,9.0,1.2128145872245135
148,LonRouter,0.8,0.13910381359808394,1.0,7.0,1.104729415261263
148,CenRouter,1.0,0.15578660124884652,3.0,11.0,1.183579363429573
148,DnsRouter,0.6,0.12374229232469224,0.0,5.0,0.9930731301248086
148,ManL3Switch,0.4,0.10020711622256238,0.0,5.0,0.8740135902123348
148,LonL3Switch,0.4,0.10417811778050821,0.0,5.0,0.8978745800389798
149,ManRouter,0.8,0.14330010996087175,2.0,9.0,1.1660936688914825
149,LonRouter,0.8,0.13897747491341972,1.0,7.0,1.0936104948358263
149,CenRouter,1.0,0.15633904210816654,3.0,11.0,1.2566257839346797
149,DnsRouter,0.6,0.12081105251357178,0.0,5.0,0.9737580712746939
149,ManL3Switch,0.4,0.11373488748482165,0.0,5.0,0.9410172402503966
149,LonL3Switch,0.4,0.10473569526999234,0.0,5.0,0.8929878335920948
150,ManRouter,0.8,0.13630289194368986,1.0,7.0,1.1537613341269446
150,LonRouter,0.8,0.14106077922379887,3.0,11.0,1.1890169423924977
150,CenRouter,1.0,0.13890985429969238,2.0,9.0,1.1018844367146385
150,DnsRouter,0.6,0.12461500986040858,0.0,5.0,1.0163440838023914
